station,date,aqi,pm25_ug_m3,pm10_ug_m3,no2_ug_m3,so2_ug_m3,co_mg_m3,o3_ug_m3,nh3_ug_m3,daily_aqi_definition,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,pressure_msl_mean,aqi_lag_1,aqi_lag_2,aqi_lag_3,aqi_rolling_mean_3,aqi_rolling_mean_7,aqi_next_day,day_of_week,month,day_of_year_sin,day_of_year_cos
"Ballygunge, Kolkata - WBPCB",2024-01-08,306.0,127.41,213.73,57.84,19.23,1.72,71.49,60.44,mean_of_source_observations,19.5,80,13.3,1017.5,304.0,276.0,297.0,292.3333333333333,257.57142857142856,266.0,0,1,0.13718540405660057,0.9905453876091833
"Ballygunge, Kolkata - WBPCB",2024-01-09,266.0,109.73,182.55,60.63,12.97,1.61,75.05,57.29,mean_of_source_observations,19.0,77,10.1,1016.6,306.0,304.0,276.0,295.3333333333333,266.7142857142857,272.0,1,1,0.1542040475626894,0.988039023376751
"Ballygunge, Kolkata - WBPCB",2024-01-10,272.0,111.51,203.43,86.07,12.53,2.08,83.2,68.99,mean_of_source_observations,19.9,76,8.7,1015.0,266.0,306.0,304.0,292.0,272.85714285714283,268.0,2,1,0.17117705961019986,0.985240282501282
"Ballygunge, Kolkata - WBPCB",2024-01-11,268.0,110.29,200.29,63.88,14.39,2.81,78.06,73.87,mean_of_source_observations,19.2,76,12.1,1016.3,272.0,266.0,306.0,281.3333333333333,281.7142857142857,244.0,3,1,0.18809941761179758,0.9821499931752291
"Ballygunge, Kolkata - WBPCB",2024-01-12,244.0,103.24,179.16,44.77,14.41,0.82,80.86,51.0,mean_of_source_observations,16.6,76,15.3,1016.2,268.0,272.0,266.0,268.6666666666667,284.14285714285717,302.0,4,1,0.20496611396949532,0.9787690698649216
"Ballygunge, Kolkata - WBPCB",2024-01-13,302.0,123.0,206.88,64.29,16.67,1.37,67.23,46.85,mean_of_source_observations,16.0,75,11.8,1015.9,244.0,268.0,272.0,261.3333333333333,276.57142857142856,330.0,5,1,0.22177215755648186,0.975098513039961
"Ballygunge, Kolkata - WBPCB",2024-01-14,330.0,158.87,260.62,54.83,15.55,1.43,83.49,42.76,mean_of_source_observations,15.7,77,10.6,1015.4,302.0,244.0,268.0,271.3333333333333,280.2857142857143,315.0,6,1,0.23851257519407648,0.9711394088771653
"Ballygunge, Kolkata - WBPCB",2024-01-15,315.0,139.88,237.58,42.1,11.3,1.18,59.43,39.36,mean_of_source_observations,15.5,81,10.8,1015.0,330.0,302.0,244.0,292.0,284.0,289.0,0,1,0.2551824131233728,0.9668929289391521
"Ballygunge, Kolkata - WBPCB",2024-01-16,289.0,116.59,204.1,51.77,10.29,1.32,59.73,39.96,mean_of_source_observations,16.6,77,9.0,1014.5,315.0,330.0,302.0,315.6666666666667,285.2857142857143,230.0,1,1,0.2717767384711357,0.9623603298276545
"Ballygunge, Kolkata - WBPCB",2024-01-17,230.0,99.03,166.28,48.55,7.88,1.36,35.79,33.97,mean_of_source_observations,17.7,78,9.7,1014.8,289.0,315.0,330.0,311.3333333333333,288.57142857142856,244.0,2,1,0.2882906407095177,0.9575429528116719
